passenger1,passenger2,flightsTogether
368,392,6
724,792,6
368,752,6
733,1095,6
701,1056,6
760,762,6
2178,2183,6
354,392,6
716,792,6
752,797,6
324,374,6
610,650,6
733,1001,6
205,275,6
360,395,6
733,764,6
709,740,6
1053,1057,6
730,740,6
759,791,6
709,771,6
374,759,6
752,1095,6
366,733,6
2175,2178,6
215,275,6
704,768,6
1031,1095,6
762,771,6
709,797,6
704,791,6
706,771,6
768,772,6
759,762,6
761,797,6
763,791,6
1013,1095,6
755,792,6
354,374,6
762,791,6
746,791,6
716,791,6
1013,1057,6
248,299,6
730,763,6
374,701,6
334,368,6
724,730,6
2175,2186,6
354,366,6
772,792,6
709,746,6
364,733,6
752,766,6
366,395,6
755,1023,6
706,761,6
762,772,6
606,610,6
761,792,6
701,768,6
733,1053,6
761,766,6
704,772,6
746,766,6
761,764,6
324,334,6
374,739,6
2153,2175,6
2175,2197,6
324,328,6
355,374,6
730,746,6
1013,1056,6
248,293,6
701,792,6
755,1095,6
354,355,6
354,364,6
733,797,6
716,768,6
752,792,6
366,759,6
716,761,6
724,761,6
2152,2186,6
1029,1056,6
740,766,6
763,792,6
328,355,6
704,763,6
730,751,6
374,763,6
2153,2199,6
364,395,6
706,791,6
766,772,6
740,768,6
763,1056,6
205,274,6
1029,1095,6
215,248,6
768,791,6
761,762,6
366,701,6
733,792,6
764,771,6
328,374,6
374,771,6
2186,2197,6
739,1001,6
759,761,6
701,709,6
733,766,6
709,763,6
368,771,6
771,1056,6
205,255,6
354,395,6
771,797,6
730,772,6
730,733,6
1023,1029,6
205,299,6
215,255,6
706,751,6
733,761,6
751,797,6
739,762,6
606,650,6
771,791,6
704,740,6
334,392,6
334,360,6
759,764,6
709,791,6
730,755,6
751,792,6
1001,1057,6
366,771,6
706,730,6
716,766,6
324,360,6
324,354,6
704,730,6
1001,1029,6
739,1056,6
746,797,6
730,760,6
724,768,6
752,762,6
701,762,6
366,751,6
2152,2197,6
324,392,6
1013,1029,6
248,275,6
328,354,6
716,1056,6
355,392,6
739,791,6
759,1001,6
755,1053,6
274,299,6
706,709,6
730,791,6
709,768,6
733,1056,6
2152,2175,6
771,1001,6
2152,2199,6
3104,3123,6
772,797,6
1029,1053,6
255,299,6
764,792,6
760,792,6
759,797,6
733,1023,6
733,768,6
716,797,6
751,764,6
1029,1057,6
706,763,6
739,1023,6
355,368,6
706,739,6
733,762,6
701,764,6
362,374,6
706,797,6
1013,1023,6
701,766,6
362,392,6
751,761,6
752,768,6
374,716,6
704,760,6
755,791,6
730,759,6
768,771,6
1023,1031,6
328,364,6
2183,2186,6
360,392,6
324,362,6
362,395,6
255,274,6
746,768,6
606,684,6
752,791,6
704,733,6
355,395,6
730,762,6
215,293,6
3116,3145,6
724,766,6
768,797,6
701,704,6
740,764,6
205,248,6
706,760,6
771,1053,6
354,360,6
730,771,6
374,740,6
740,761,6
2152,2178,6
364,392,6
324,355,6
362,364,6
334,355,6
764,791,6
215,299,6
709,761,6
755,764,6
759,1023,6
355,362,6
704,761,6
739,792,6
709,752,6
761,772,6
704,716,6
366,746,6
364,771,6
364,759,6
324,364,6
724,764,6
2153,2183,6
324,368,6
355,366,6
360,364,6
701,706,6
706,740,6
760,797,6
328,334,6
368,733,6
762,764,6
709,724,6
3123,3180,6
1001,1031,6
2153,2186,6
739,768,6
761,768,6
205,293,6
759,1056,6
704,792,6
709,716,6
761,763,6
2197,2199,6
610,684,6
706,755,6
706,724,6
762,792,6
746,761,6
709,739,6
763,797,6
766,792,6
751,1056,6
706,766,6
1031,1056,6
360,368,6
764,772,6
724,791,6
2153,2178,6
354,362,6
706,752,6
755,766,6
791,792,6
759,766,6
368,759,6
2152,2183,6
792,797,6
760,764,6
2183,2197,6
275,299,6
334,364,6
709,759,6
709,764,6
730,739,6
366,763,6
366,760,6
771,1023,6
3104,3180,6
740,792,6
1056,1057,6
374,772,6
755,797,6
328,360,6
328,392,6
704,724,6
2178,2197,6
205,215,6
760,791,6
740,762,6
374,755,6
368,739,6
324,366,6
324,395,6
755,761,6
759,768,6
374,733,6
